Year,Elite,Comments
12/31/2006,0,2
12/31/2006,0,1
12/31/2006,0,8
12/31/2006,0,1
12/31/2006,0,5
12/31/2006,0,5
12/31/2006,0,3
12/31/2006,0,1
12/31/2006,0,3
12/31/2006,0,5
12/31/2006,0,1
12/31/2006,0,4
12/31/2006,0,4
12/31/2006,0,7
12/31/2006,0,2
12/31/2006,0,32
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,3
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,1
12/31/2006,0,3
12/31/2006,0,9
12/31/2006,0,1
12/31/2006,0,8
01/01/2006,1,14
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,9
01/01/2006,1,2
01/01/2006,1,3
01/01/2006,1,1
01/01/2006,1,81
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,4
01/01/2006,1,3
01/01/2006,1,1
01/01/2006,1,11
01/01/2006,1,7
01/01/2006,1,41
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,13
01/01/2006,1,2
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,7
01/01/2006,1,1
01/01/2006,1,12
01/01/2006,1,12
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,48
01/01/2006,1,2
01/01/2006,1,4
01/01/2006,1,5
01/01/2006,1,2
01/01/2006,1,10
01/01/2006,1,1
01/01/2006,1,5
01/01/2006,1,4
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,13
01/01/2006,1,10
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,4
01/01/2006,1,5
01/01/2006,1,4
01/01/2006,1,37
01/01/2006,1,1
01/01/2006,1,4
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,4
01/01/2006,1,3
01/01/2006,1,71
01/01/2006,1,1
01/01/2006,1,10
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,8
01/01/2006,1,5
01/01/2006,1,8
01/01/2006,1,4
01/01/2006,1,1
01/01/2006,1,14
01/01/2006,1,6
01/01/2006,1,2
01/01/2006,1,3
01/01/2006,1,2
01/01/2006,1,3
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,46
01/01/2006,1,6
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,10
01/01/2006,1,1
01/01/2006,1,6
01/01/2006,1,1
01/01/2006,1,4
01/01/2006,1,3
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,7
01/01/2006,1,2
01/01/2006,1,6
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,3
01/01/2006,1,2
01/01/2006,1,7
01/01/2006,1,12
01/01/2006,1,4
01/01/2006,1,5
01/01/2006,1,23
01/01/2006,1,5
01/01/2006,1,4
01/01/2006,1,7
01/01/2006,1,110
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,3
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,9
01/01/2006,1,47
01/01/2006,1,3
01/01/2006,1,9
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,8
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,3
01/01/2006,1,3
01/01/2006,1,6
01/01/2006,1,4
01/01/2006,1,9
01/01/2006,1,4
01/01/2006,1,4
01/01/2006,1,4
01/01/2006,1,5
01/01/2006,1,8
01/01/2006,1,1
01/01/2006,1,16
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,4
01/01/2006,1,26
01/01/2006,1,14
01/01/2006,1,3
01/01/2006,1,3
01/01/2006,1,8
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,21
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,9
01/01/2006,1,5
01/01/2006,1,5
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,6
01/01/2006,1,3
01/01/2006,1,9
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,3
01/01/2006,1,23
01/01/2006,1,3
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,34
01/01/2006,1,82
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,5
01/01/2006,1,4
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,23
01/01/2006,1,3
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,22
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,5
01/01/2006,1,4
01/01/2006,1,1
01/01/2006,1,4
01/01/2006,1,1
01/01/2006,1,8
01/01/2006,1,9
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,8
01/01/2006,1,1
01/01/2006,1,5
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,8
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,4
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,6
01/01/2006,1,3
01/01/2006,1,2
01/01/2006,1,4
01/01/2006,1,2
01/01/2006,1,20
01/01/2006,1,5
01/01/2006,1,2
01/01/2006,1,4
01/01/2006,1,1
01/01/2006,1,7
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,4
01/01/2006,1,5
01/01/2006,1,7
01/01/2006,1,6
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,9
01/01/2006,1,4
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,4
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,3
01/01/2006,1,2
01/01/2006,1,11
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,6
01/01/2006,1,1
01/01/2006,1,43
01/01/2006,1,11
01/01/2006,1,4
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,47
01/01/2006,1,39
01/01/2006,1,5
01/01/2006,1,2
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,17
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,1
01/01/2006,1,5
01/01/2006,1,5
01/01/2006,1,12
01/01/2006,1,51
01/01/2006,1,3
01/01/2006,1,3
01/01/2006,1,7
01/01/2006,1,10
01/01/2006,1,77
01/01/2006,1,3
01/01/2006,1,7
01/01/2006,1,7
01/01/2006,1,4
01/01/2006,1,11
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,3
01/01/2006,1,9
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,10
01/01/2006,1,7
01/01/2006,1,18
01/01/2006,1,1
01/01/2006,1,33
01/01/2006,1,1
01/01/2006,1,7
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,7
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,5
01/01/2006,1,2
01/01/2006,1,3
01/01/2006,1,4
01/01/2006,1,14
01/01/2006,1,7
01/01/2006,1,5
01/01/2006,1,21
01/01/2006,1,22
01/01/2006,1,2
01/01/2006,1,6
01/01/2006,1,3
01/01/2006,1,4
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,7
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,10
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,5
01/01/2006,1,3
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,5
01/01/2006,1,1
01/01/2006,1,4
01/01/2006,1,4
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,14
01/01/2006,1,1
01/01/2006,1,2
01/01/2006,1,12
01/01/2006,1,3
01/01/2006,1,2
01/01/2006,1,1
01/01/2006,1,15
01/01/2006,1,5
01/01/2006,1,3
01/01/2006,1,44
01/01/2006,1,3
01/01/2006,1,1
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,1
01/01/2006,1,11
01/01/2006,1,1
01/01/2006,1,3
01/01/2006,1,2
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,13
12/31/2007,0,1
12/31/2007,0,7
12/31/2007,0,5
12/31/2007,0,9
12/31/2007,0,8
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,6
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,34
12/31/2007,0,4
12/31/2007,0,5
12/31/2007,0,7
12/31/2007,0,51
12/31/2007,0,16
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,6
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,6
12/31/2007,0,1
12/31/2007,0,7
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,5
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,5
12/31/2007,0,1
12/31/2007,0,47
12/31/2007,0,3
12/31/2007,0,4
12/31/2007,0,3
12/31/2007,0,6
12/31/2007,0,4
12/31/2007,0,4
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,14
12/31/2007,0,4
12/31/2007,0,14
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,2
12/31/2007,0,3
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,8
12/31/2007,0,4
12/31/2007,0,47
12/31/2007,0,5
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,12
12/31/2007,0,1
12/31/2007,0,5
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,7
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,85
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,4
12/31/2007,0,70
12/31/2007,0,3
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,7
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,5
12/31/2007,0,7
12/31/2007,0,3
12/31/2007,0,3
12/31/2007,0,4
12/31/2007,0,2
12/31/2007,0,4
12/31/2007,0,3
12/31/2007,0,9
12/31/2007,0,6
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,18
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,8
12/31/2007,0,4
12/31/2007,0,4
12/31/2007,0,6
12/31/2007,0,14
12/31/2007,0,5
12/31/2007,0,10
12/31/2007,0,7
12/31/2007,0,9
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,5
12/31/2007,0,8
12/31/2007,0,3
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,7
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,5
12/31/2007,0,12
12/31/2007,0,1
12/31/2007,0,7
12/31/2007,0,3
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,2
12/31/2007,0,90
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,6
12/31/2007,0,15
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,5
12/31/2007,0,2
12/31/2007,0,3
12/31/2007,0,3
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,46
12/31/2007,0,2
12/31/2007,0,20
12/31/2007,0,3
12/31/2007,0,187
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,7
12/31/2007,0,11
12/31/2007,0,4
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,26
12/31/2007,0,24
12/31/2007,0,7
12/31/2007,0,8
12/31/2007,0,1
12/31/2007,0,20
12/31/2007,0,6
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,6
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,4
12/31/2007,0,9
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,5
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,3
12/31/2007,0,20
12/31/2007,0,3
12/31/2007,0,5
12/31/2007,0,2
12/31/2007,0,14
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,6
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,54
12/31/2007,0,1
12/31/2007,0,8
12/31/2007,0,2
12/31/2007,0,3
12/31/2007,0,3
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,38
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,183
12/31/2007,0,2
12/31/2007,0,28
12/31/2007,0,5
12/31/2007,0,1
12/31/2007,0,14
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,10
12/31/2007,0,6
12/31/2007,0,1
12/31/2007,0,8
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,7
12/31/2007,0,2
12/31/2007,0,16
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,11
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,17
12/31/2007,0,6
12/31/2007,0,3
12/31/2007,0,5
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,20
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,5
12/31/2007,0,7
12/31/2007,0,3
12/31/2007,0,26
12/31/2007,0,3
12/31/2007,0,2
12/31/2007,0,3
12/31/2007,0,2
12/31/2007,0,107
12/31/2007,0,1
12/31/2007,0,5
12/31/2007,0,9
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,7
12/31/2007,0,84
12/31/2007,0,2
12/31/2007,0,10
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,11
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,29
12/31/2007,0,7
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,9
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,23
12/31/2007,0,1
12/31/2007,0,5
12/31/2007,0,3
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,12
12/31/2007,0,2
12/31/2007,0,4
12/31/2007,0,41
12/31/2007,0,3
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,8
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,3
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,6
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,2
12/31/2007,0,32
12/31/2007,0,5
12/31/2007,0,6
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,31
12/31/2007,0,6
12/31/2007,0,6
12/31/2007,0,3
12/31/2007,0,4
12/31/2007,0,5
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,4
12/31/2007,0,9
12/31/2007,0,26
12/31/2007,0,9
12/31/2007,0,1
12/31/2007,0,30
12/31/2007,0,87
12/31/2007,0,8
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,32
12/31/2007,0,22
12/31/2007,0,22
12/31/2007,0,3
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,17
12/31/2007,0,1
12/31/2007,0,32
12/31/2007,0,4
12/31/2007,0,2
12/31/2007,0,9
12/31/2007,0,5
12/31/2007,0,13
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,6
12/31/2007,0,5
12/31/2007,0,3
12/31/2007,0,7
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,14
12/31/2007,0,9
12/31/2007,0,3
12/31/2007,0,8
12/31/2007,0,6
12/31/2007,0,1
12/31/2007,0,14
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,11
12/31/2007,0,5
12/31/2007,0,10
12/31/2007,0,22
12/31/2007,0,5
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,8
12/31/2007,0,3
12/31/2007,0,8
12/31/2007,0,6
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,31
12/31/2007,0,8
12/31/2007,0,7
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,7
12/31/2007,0,2
12/31/2007,0,5
12/31/2007,0,2
12/31/2007,0,7
12/31/2007,0,10
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,4
12/31/2007,0,5
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,19
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,6
12/31/2007,0,2
12/31/2007,0,25
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,5
12/31/2007,0,16
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,6
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,11
12/31/2007,0,1
12/31/2007,0,18
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,7
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,12
12/31/2007,0,8
12/31/2007,0,54
12/31/2007,0,6
12/31/2007,0,7
12/31/2007,0,4
12/31/2007,0,4
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,6
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,124
12/31/2007,0,1
12/31/2007,0,12
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,25
12/31/2007,0,17
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,8
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,5
12/31/2007,0,6
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,18
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,7
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,10
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,6
12/31/2007,0,2
12/31/2007,0,10
12/31/2007,0,9
12/31/2007,0,5
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,4
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,11
12/31/2007,0,5
12/31/2007,0,4
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,2
12/31/2007,0,62
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,6
12/31/2007,0,1
12/31/2007,0,3
12/31/2007,0,1
12/31/2007,0,4
12/31/2007,0,3
12/31/2007,0,5
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,9
12/31/2007,0,2
12/31/2007,0,8
12/31/2007,0,5
12/31/2007,0,8
12/31/2007,0,3
12/31/2007,0,4
12/31/2007,0,4
12/31/2007,0,3
12/31/2007,0,14
12/31/2007,0,3
12/31/2007,0,5
12/31/2007,0,5
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,9
12/31/2007,0,1
12/31/2007,0,5
12/31/2007,0,4
12/31/2007,0,3
12/31/2007,0,16
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,3
12/31/2007,0,31
12/31/2007,0,11
12/31/2007,0,5
12/31/2007,0,10
12/31/2007,0,5
12/31/2007,0,4
12/31/2007,0,70
12/31/2007,0,56
12/31/2007,0,64
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,1
12/31/2007,0,2
12/31/2007,0,2
12/31/2007,0,1
12/31/2007,0,7
01/01/2007,1,2
01/01/2007,1,1
01/01/2007,1,6
01/01/2007,1,1
01/01/2007,1,2
01/01/2007,1,1
01/01/2007,1,1
01/01/2007,1,3
01/01/2007,1,13
01/01/2007,1,4
01/01/2007,1,3
01/01/2007,1,1
01/01/2007,1,1
01/01/2007,1,1
01/01/2007,1,4
01/01/2007,1,4
01/01/2007,1,8
01/01/2007,1,4
01/01/2007,1,3
01/01/2007,1,4
01/01/2007,1,1
01/01/2007,1,2
01/01/2007,1,2
01/01/2007,1,2
01/01/2007,1,5
01/01/2007,1,2
01/01/2007,1,1
01/01/2007,1,18
01/01/2007,1,19
01/01/2007,1,3
01/01/2007,1,1
01/01/2007,1,11
01/01/2007,1,9
01/01/2007,1,3
01/01/2007,1,1
01/01/2007,1,2
01/01/2007,1,4
01/01/2007,1,2
01/01/2007,1,2
